%       x_1              x_2            Y = ln T
      0.100            0.100       -1.662600e+00
      0.100            0.300       -1.776200e+00
      0.100            1.700       +3.018000e-01
      0.100            2.500       +1.113300e+00
      0.100            4.300       -1.714000e-01
      0.100            4.700       +2.220000e-02
      0.100            5.700       +6.024000e-01
      0.100            5.900       +6.692000e-01
      0.100            6.100       +4.470000e-01
      0.100           11.100       +7.005200e+00
      0.300            3.100       +5.806000e-01
      0.300            5.100       -1.346000e-01
      0.300            6.100       +2.208000e-01
      0.300            6.700       -6.343001e-01
      0.300            7.900       +6.895300e+00
      0.300           11.900       +6.850600e+00
      0.500            0.500       -1.608200e+00
      0.500            1.100       -1.430600e+00
      0.500            3.300       +5.114000e-01
      0.500            3.700       +7.299997e-03
      0.500            5.300       -3.403000e-01
      0.500            5.500       -7.230000e-02
      0.500            6.700       -1.037000e+00
      0.500            7.700       +6.503400e+00
      0.500            9.900       +7.988300e+00
      0.500           11.500       +6.504200e+00
      0.500           11.900       +6.794300e+00
      0.700            2.900       +1.327100e+00
      0.700            4.300       -4.300000e-01
      0.700            8.500       +6.616800e+00
      0.700           10.100       +8.371000e+00
      0.900            0.500       -9.923000e-01
      0.900            7.100       -1.685400e+00
      0.900           11.100       +7.527500e+00
      1.100            0.700       -1.115400e+00
      1.100            2.500       +1.566900e+00
      1.100            2.700       +1.757000e+00
      1.100            5.300       +6.159100e+00
      1.100            6.100       +6.369900e+00
      1.100            7.900       -6.687000e-01
      1.100            9.700       +7.693600e+00
      1.300            0.100       +4.517000e-01
      1.300            1.300       -1.143500e+00
      1.300            3.100       +2.012300e+00
      1.300            6.700       -1.960200e+00
      1.300            8.900       -3.018000e-01
      1.300            9.100       -3.488000e-01
      1.300           10.900       +8.696800e+00
      1.300           11.300       +7.958600e+00
      1.500            0.900       -1.001400e+00
      1.500            2.900       +2.161900e+00
      1.500            7.300       +6.672400e+00
      1.500            7.900       +7.046400e+00
      1.500            8.500       -9.580000e-02
      1.700            3.100       +2.092100e+00
      1.700            4.500       +6.806300e+00
      1.700            7.500       +7.252500e+00
      1.700            8.500       +7.092900e+00
      1.900            2.700       +1.602100e+00
      1.900            6.100       +6.718900e+00
      1.900            9.300       +7.118000e+00
      2.100            2.100       +5.670000e-02
      2.100            7.300       +1.723000e-01
      2.100           10.300       +8.178400e+00
      2.100           10.700       +8.607500e+00
      2.300            2.300       +1.970000e-02
      2.300            6.500       +1.403000e-01
      2.300            6.700       +1.367000e-01
