%       x_1              x_2            Y = ln T
      0.100            7.700       +2.149000e-01
      0.100            8.900       -1.983000e-01
      0.100           11.100       +7.005200e+00
      0.300            1.900       +5.034000e-01
      0.300            4.700       -1.357000e-01
      0.300           10.500       +8.067700e+00
      0.500            2.500       +1.213100e+00
      0.500            3.100       +8.255000e-01
      0.500            5.500       -7.230000e-02
      0.500            5.900       +2.384000e-01
      0.700            3.500       +4.516000e-01
      0.700            4.100       -2.678000e-01
      0.700            5.300       -6.958000e-01
      0.900            2.100       +6.005000e-01
      1.100            0.500       -7.070000e-01
      1.100            2.500       +1.566900e+00
      1.100            3.500       +1.092700e+00
      1.100            5.900       +6.658100e+00
      1.100            6.100       +6.369900e+00
      1.100            7.700       +6.362500e+00
      1.100           11.700       +7.188500e+00
      1.300           10.300       +8.722900e+00
      1.300           11.900       +7.304400e+00
      1.500            0.100       +6.095999e-01
      1.500            0.900       -1.001400e+00
      1.500            7.500       +6.954100e+00
      1.500           11.100       +8.576500e+00
      1.500           11.500       +7.960100e+00
      1.700            3.700       +8.870000e-01
      1.700            9.500       +7.254300e+00
      1.700            9.900       +7.873700e+00
      1.700           10.100       +8.210300e+00
      1.900            0.300       +6.025000e-01
      1.900            1.300       -5.487000e-01
      1.900            2.500       +1.177900e+00
      1.900            6.300       -5.724000e-01
      1.900            7.100       -1.422000e-01
      1.900            8.700       +7.004800e+00
      1.900           11.500       +8.075900e+00
      1.900           11.700       +7.775200e+00
      2.300            2.900       +7.643000e-01
      2.300            3.100       +6.073000e-01
      2.300           10.100       +7.863400e+00
      2.300           10.900       +8.592100e+00
      2.300           11.500       +7.975400e+00
      2.500            1.900       -7.393000e-01
      2.500            4.700       -8.799000e-01
      2.700            0.700       +7.552900e+00
      2.700            3.300       -1.005500e+00
      2.700           11.500       +7.954600e+00
      2.900            1.700       +5.832800e+00
      2.900            3.900       -1.422100e+00
      2.900            4.500       +5.834100e+00
      3.100            4.500       +5.913000e+00
      3.100            7.700       -2.850000e-02
      3.100           11.100       +8.750200e+00
      3.100           11.500       +7.867200e+00
      3.300            4.100       +5.908400e+00
      3.500            7.300       +7.090500e+00
      3.700            1.900       +5.725200e+00
      3.700            8.100       +7.517400e+00
      3.700           10.700       +8.105000e+00
      3.700           11.100       +7.863800e+00
      3.900            2.700       +1.129000e-01
      3.900            4.700       +5.390500e+00
      3.900           11.300       +7.439900e+00
      4.100           11.100       +7.139200e+00
      4.100           11.700       +6.969600e+00
      4.300            0.300       +8.477600e+00
      4.300            3.100       +6.849800e+00
      4.500            0.100       +8.268200e+00
      4.500            0.500       +8.285700e+00
      4.500            0.700       +8.026300e+00
      4.500            3.500       +6.498100e+00
      4.500            3.900       +6.149200e+00
      4.500            5.100       +5.773400e+00
      4.500            5.700       +6.223600e+00
      4.500            6.700       +7.576300e+00
      4.500            8.900       +6.082900e+00
      4.500            9.100       +5.969000e+00
      4.700            0.100       +8.212300e+00
      4.700            2.700       +6.282100e+00
      4.700           10.500       +5.677400e+00
      4.700           11.100       +6.133600e+00
      4.900            1.900       +5.889700e+00
      4.900            4.900       +6.127400e+00
      5.100            3.100       +5.763700e+00
      5.300            1.100       +6.082800e+00
      5.300            9.500       +6.051700e+00
      5.500            6.100       +7.474300e+00
      5.500           10.700       +5.366000e+00
      5.700            2.700       +5.334500e+00
      5.700           10.300       +5.896500e+00
      5.900            4.500       +6.389900e+00
      5.900            5.700       +7.039900e+00
      5.900            5.900       +6.926600e+00
      5.900           11.700       +5.439900e+00
      6.100            8.100       +7.375700e+00
      6.100           10.700       +6.113300e+00
      6.500            0.700       +6.037900e+00
      6.500            3.300       +6.015100e+00
      6.500            6.300       +6.070800e+00
      6.500            7.300       +7.387800e+00
      6.500            8.500       +6.686000e+00
      6.700            3.300       +6.230900e+00
      6.700            4.900       +7.209700e+00
      6.700            7.100       +5.000000e-02
      6.900            0.100       +7.440600e+00
      7.100            0.700       +6.156100e+00
      7.100            2.500       +6.747200e+00
      7.100            3.100       +6.550900e+00
      7.300            6.700       -2.227000e-01
      7.300            7.100       +9.329999e-02
      7.300            9.300       +6.543300e+00
      7.300           10.300       +7.224800e+00
      7.500            1.700       +7.524300e+00
      7.500            5.700       +7.311700e+00
      7.500           11.100       +6.917000e+00
      7.700            1.100       +7.218000e+00
      7.700            6.100       +5.128000e-01
      7.700            9.900       +7.516900e+00
      7.700           10.500       +7.299200e+00
      7.700           11.700       +7.317500e+00
      7.900            1.700       +8.126000e+00
      7.900            2.700       +7.558300e+00
      7.900            3.700       +7.089600e+00
      7.900            8.900       +7.217400e+00
      7.900            9.500       +7.633700e+00
      8.100            2.300       +7.955000e+00
      8.100            9.700       +7.674300e+00
      8.100           10.900       +7.660900e+00
      8.100           11.500       +7.955300e+00
      8.300           10.700       +7.676100e+00
      8.500            3.100       +7.266700e+00
      8.500            5.300       -1.296000e-01
      8.700            2.700       +7.489100e+00
      8.700            3.700       +6.893300e+00
      8.700            4.300       -2.948000e-01
      8.700            4.700       -3.658000e-01
      8.900            7.900       -1.287600e+00
      9.100           10.700       +7.202900e+00
      9.300            8.500       +6.993700e+00
      9.500            0.100       +7.573700e+00
      9.500            0.300       +7.401400e+00
      9.500            3.300       +6.021300e+00
      9.500            6.300       -1.360600e+00
      9.500            9.500       +8.019000e+00
      9.700            8.900       +7.896800e+00
      9.700           10.100       +7.773800e+00
      9.700           11.300       +6.925000e+00
      9.900            4.900       -1.910000e-01
