%       x_1              x_2            Y = ln T
      0.100            0.500       -1.822600e+00
      0.100            2.100       +1.075800e+00
      0.100            4.900       +3.529999e-02
      0.100            5.100       +7.350000e-02
      0.100            6.700       -2.634000e-01
      0.100            6.900       -2.096000e-01
      0.100            7.900       +1.817000e-01
      0.100            8.100       +1.451000e-01
      0.100            8.300       +7.110000e-02
      0.100            8.900       -1.983000e-01
      0.100           10.100       +7.961700e+00
      0.100           11.100       +7.005200e+00
      0.100           11.300       +6.747600e+00
      0.300            0.100       -1.669900e+00
      0.300            0.900       -1.595900e+00
      0.300            2.300       +1.105200e+00
      0.300            2.500       +1.148800e+00
      0.300            3.500       +5.860000e-02
      0.300            3.700       -9.130000e-02
      0.300            4.700       -1.357000e-01
      0.300            5.100       -1.346000e-01
      0.300            6.500       -5.045000e-01
      0.300            7.300       -2.913000e-01
      0.300            7.900       +6.895300e+00
      0.300            8.100       +6.888200e+00
      0.300            9.500       +2.086000e-01
      0.300            9.900       +7.914600e+00
      0.300           10.700       +7.744400e+00
      0.500            0.900       -1.586000e+00
      0.500            1.100       -1.430600e+00
      0.500            1.900       +2.925000e-01
      0.500            2.300       +1.052800e+00
      0.500            2.900       +1.078100e+00
      0.500            3.100       +8.255000e-01
      0.500            3.500       +2.262000e-01
      0.500            5.300       -3.403000e-01
      0.500            5.900       +2.384000e-01
      0.500            6.100       -8.600004e-03
      0.500            8.100       +6.590500e+00
      0.500            9.300       -9.800002e-03
      0.500           10.500       +8.252400e+00
      0.700            0.100       -9.044001e-01
      0.700            0.900       -1.520400e+00
      0.700            2.100       +6.301000e-01
      0.700            2.700       +1.409800e+00
      0.700            3.300       +7.926000e-01
      0.700            3.900       -6.200000e-02
      0.700            4.900       -9.178000e-01
      0.700            6.300       -7.719000e-01
      0.700            6.900       -1.527700e+00
      0.700            7.100       -1.437200e+00
      0.700            7.700       +6.193200e+00
      0.700            8.500       +6.616800e+00
      0.700           10.900       +7.657400e+00
      0.700           11.500       +6.630600e+00
      0.900            0.100       -3.347000e-01
      0.900            1.300       -1.355000e+00
      0.900            1.900       +2.220000e-02
      0.900            2.900       +1.567700e+00
      0.900            3.700       +4.148000e-01
      0.900            4.700       -9.195001e-01
      0.900            5.900       +6.778200e+00
      0.900            6.700       -1.833800e+00
      0.900            7.100       -1.685400e+00
      0.900           10.700       +8.367300e+00
      0.900           10.900       +7.986300e+00
      0.900           11.700       +6.854700e+00
      1.100            0.100       +1.511000e-01
      1.100            0.500       -7.070000e-01
      1.100            3.300       +1.463500e+00
      1.100            4.300       -3.018000e-01
      1.100            5.300       +6.159100e+00
      1.100            5.700       +6.616700e+00
      1.100            6.900       -1.873700e+00
      1.100            7.700       +6.362500e+00
      1.100            8.700       -3.775000e-01
      1.100            9.900       +8.060300e+00
      1.300            1.900       +6.859999e-02
      1.300            2.100       +6.571000e-01
      1.300            2.900       +2.012300e+00
      1.300            5.300       +6.312400e+00
      1.300            8.100       +6.756900e+00
      1.300            9.300       -7.800000e-02
      1.300           10.900       +8.696800e+00
      1.300           11.100       +8.322100e+00
      1.300           11.700       +7.505100e+00
      1.500            0.500       -2.377000e-01
      1.500            2.900       +2.161900e+00
      1.500            6.300       +6.009600e+00
      1.500            6.500       -1.496300e+00
      1.500            6.700       -1.589700e+00
      1.500            7.100       +6.280400e+00
      1.500            8.500       -9.580000e-02
      1.500            8.900       -8.980000e-02
      1.500           11.900       +7.484900e+00
      1.700            0.500       +3.830000e-02
      1.700            0.900       -6.219000e-01
      1.700            1.500       -7.727000e-01
      1.700            1.700       -4.374000e-01
      1.700            1.900       -1.200000e-02
      1.700            3.700       +8.870000e-01
      1.700            5.700       +6.766100e+00
      1.700            5.900       +6.651400e+00
      1.700            6.100       +6.437800e+00
      1.700            7.100       +6.681200e+00
      1.700            8.300       +7.146500e+00
      1.700            9.100       +7.049200e+00
      1.700            9.500       +7.254300e+00
      1.700            9.700       +7.539400e+00
      1.900            1.700       -3.434000e-01
      1.900            3.900       -1.134000e-01
      1.900            4.100       -4.603000e-01
      1.900            4.300       -5.769000e-01
      1.900            5.700       +6.975100e+00
      1.900            6.700       -5.846000e-01
      1.900            7.700       +7.354300e+00
      1.900            8.900       +7.025800e+00
      1.900            9.900       +7.803300e+00
      1.900           10.900       +8.776800e+00
      1.900           11.300       +8.379200e+00
      2.100            0.100       +7.659000e-01
      2.100            1.700       -2.914000e-01
      2.100            2.900       +1.332000e+00
      2.100            3.300       +8.598000e-01
      2.100            3.500       +3.399000e-01
      2.100            4.300       -1.021600e+00
      2.100            5.300       +7.060100e+00
      2.100            6.100       +7.034500e+00
      2.100            6.500       -2.111000e-01
      2.100            8.900       +6.908800e+00
      2.100           10.700       +8.607500e+00
      2.100           11.900       +7.463700e+00
      2.300            0.100       +5.909000e-01
      2.300            1.300       +1.105000e-01
      2.300            1.900       -4.343000e-01
      2.300            2.300       +1.970000e-02
      2.300            2.900       +7.643000e-01
      2.300            3.500       -3.298000e-01
      2.300            5.700       +7.261800e+00
      2.300            5.900       +7.322300e+00
      2.300            7.500       +7.161700e+00
      2.300            8.100       +7.051400e+00
      2.300            8.700       +6.772300e+00
      2.300            9.500       +7.233500e+00
      2.300           11.100       +8.527900e+00
      2.300           11.300       +8.286300e+00
      2.500            0.700       +6.513000e-01
      2.500            0.900       +5.899000e-01
      2.500            1.300       +1.111000e-01
      2.500            1.700       -6.312000e-01
      2.500            2.700       +1.020000e-01
      2.500            3.300       -4.292000e-01
      2.500            4.900       +6.584400e+00
      2.500            5.700       +7.247200e+00
      2.500            6.300       +3.882000e-01
      2.500            6.900       +1.562000e-01
      2.500            7.300       -4.700005e-03
      2.500            8.300       +6.799700e+00
      2.500            8.500       +6.689000e+00
      2.500            8.700       +6.689900e+00
      2.500            9.900       +7.646800e+00
      2.500           10.700       +8.643300e+00
      2.500           11.500       +7.955400e+00
      2.700            0.700       +7.552900e+00
      2.700            0.900       +7.514300e+00
      2.700            3.300       -1.005500e+00
      2.700            4.300       -1.602200e+00
      2.700            4.700       +6.055000e+00
      2.700            7.500       +7.048000e+00
      2.700            8.300       +6.767100e+00
      2.700            8.900       +6.828400e+00
      2.700            9.500       +7.277300e+00
      2.700            9.700       +7.482100e+00
      2.700           10.500       +8.711600e+00
      2.700           10.700       +8.878700e+00
      2.900            0.300       +4.000000e-02
      2.900            1.100       -1.479000e-01
      2.900            2.300       -1.078500e+00
      2.900            3.700       -1.449500e+00
      2.900            4.100       +5.676100e+00
      2.900            6.900       +3.075000e-01
      2.900            7.300       -6.390000e-02
      2.900            7.700       -3.300000e-02
      2.900            8.700       +6.946900e+00
      2.900           10.900       +8.998700e+00
      2.900           11.300       +8.382500e+00
      2.900           11.700       +7.492600e+00
      3.100            3.100       -1.592500e+00
      3.100            4.100       +5.853100e+00
      3.100            4.500       +5.913000e+00
      3.100            5.300       +6.223700e+00
      3.100            6.500       +7.460000e-01
      3.100            6.700       +6.027000e-01
      3.100            6.900       +3.119000e-01
      3.100            7.500       -1.116000e-01
      3.100            7.900       +7.162700e+00
      3.100            8.300       +7.156200e+00
      3.100           10.100       +8.563200e+00
      3.100           10.300       +8.856200e+00
      3.100           11.100       +8.750200e+00
      3.300            0.300       +7.475000e+00
      3.300            1.500       +5.789800e+00
      3.300            4.500       +5.904900e+00
      3.300            5.900       -1.036000e-01
      3.300            8.300       +7.393700e+00
      3.300            8.900       +7.442200e+00
      3.300            9.500       +7.727100e+00
      3.300           11.700       +7.307800e+00
      3.500            0.100       +8.046000e-01
      3.500            1.100       -4.205000e-01
      3.500            1.300       +6.287000e+00
      3.500            4.100       +5.922100e+00
      3.500            5.300       +5.531500e+00
      3.500            5.700       +6.249000e+00
      3.500            5.900       +6.702900e+00
      3.500            6.100       +7.074200e+00
      3.500            6.300       +7.310600e+00
      3.500            8.100       +7.495100e+00
      3.500            8.700       +7.603700e+00
      3.500            9.700       +8.086000e+00
      3.500           10.100       +8.545500e+00
      3.500           10.300       +8.608700e+00
      3.500           11.100       +8.265700e+00
      3.500           11.300       +7.971900e+00
      3.700            0.100       +1.139600e+00
      3.700            3.100       +6.521200e+00
      3.700            3.900       -1.109400e+00
      3.700            5.300       +5.281100e+00
      3.700            5.900       +6.481700e+00
      3.700            6.300       +7.024800e+00
      3.700            9.300       +7.725400e+00
      3.700            9.900       +8.220500e+00
      3.700           11.700       +7.084600e+00
      3.900            0.300       +1.324200e+00
      3.900            0.900       +3.711000e-01
      3.900            1.300       -6.804000e-01
      3.900            1.700       +5.786500e+00
      3.900            2.700       +1.129000e-01
      3.900            4.500       +5.563400e+00
      3.900            6.500       +6.976300e+00
      3.900            6.700       +7.063200e+00
      3.900            6.900       +7.144600e+00
      3.900            7.100       +7.271000e+00
      3.900            7.500       +7.551900e+00
      3.900            8.500       +7.489000e+00
      3.900            9.100       +7.543100e+00
      3.900           10.900       +7.534500e+00
      3.900           11.900       +6.712600e+00
      4.100            0.700       +8.084200e+00
      4.100            1.700       +5.903400e+00
      4.100            2.300       +6.891100e+00
      4.100            3.300       +6.684800e+00
      4.100            6.300       +6.786100e+00
      4.100            6.700       +7.100800e+00
      4.100           10.100       +7.569600e+00
      4.100           10.500       +7.295800e+00
      4.100           11.700       +6.969600e+00
      4.300            0.500       +8.402700e+00
      4.300            4.300       +5.636200e+00
      4.300            4.700       +5.423600e+00
      4.300            5.700       +6.049000e+00
      4.300            6.300       +6.756200e+00
      4.300            7.300       +7.843800e+00
      4.300            9.500       +6.706800e+00
      4.300           11.100       +6.837400e+00
      4.300           11.300       +6.993600e+00
      4.300           11.900       +6.758100e+00
