%       x_1              x_2            Y = ln T
      0.100            0.900       -1.586300e+00
      0.100            1.500       -2.574000e-01
      0.100            4.300       -1.714000e-01
      0.100            4.500       -3.430000e-02
      0.100            7.500       +2.187000e-01
      0.100            8.300       +7.110000e-02
      0.100            9.700       +7.582300e+00
      0.100           10.500       +7.888200e+00
      0.300            1.700       +4.799999e-03
      0.300            3.700       -9.130000e-02
      0.300           10.300       +8.187000e+00
      0.300           10.500       +8.067700e+00
      0.300           10.700       +7.744400e+00
      0.300           11.100       +6.903700e+00
      0.300           11.900       +6.850600e+00
      0.500            2.700       +1.217900e+00
      0.500            4.700       -4.610000e-01
      0.500            6.100       -8.600004e-03
      0.500            7.100       -9.620000e-01
      0.500            9.700       +7.641900e+00
      0.500           10.300       +8.382000e+00
      0.700            5.900       +7.036100e+00
      0.700            8.500       +6.616800e+00
      0.900            0.100       -3.347000e-01
      0.900            1.700       -4.934000e-01
      0.900            3.100       +1.418600e+00
      0.900            4.500       -6.728000e-01
      0.900            4.700       -9.195001e-01
      0.900            4.900       -1.085900e+00
      0.900            6.500       -1.612000e+00
      0.900            7.500       -1.155400e+00
      0.900            7.700       +6.116200e+00
      0.900            8.300       -5.842000e-01
      0.900            9.300       +7.031400e+00
      0.900           10.700       +8.367300e+00
      1.100            0.100       +1.511000e-01
      1.100            0.500       -7.070000e-01
      1.100            2.700       +1.757000e+00
      1.100            9.300       +7.025600e+00
      1.100           10.300       +8.699100e+00
      1.100           11.100       +7.944700e+00
      1.300            2.500       +1.607200e+00
      1.300            3.300       +1.750900e+00
      1.300            3.900       +5.330999e-01
      1.300            4.100       +1.627000e-01
      1.300            4.900       +6.330300e+00
      1.300            5.300       +6.312400e+00
      1.300            7.700       +6.728700e+00
      1.300            8.100       +6.756900e+00
      1.300            9.100       -3.488000e-01
      1.300           11.700       +7.505100e+00
      1.500            7.300       +6.672400e+00
      1.500           10.300       +8.649300e+00
      1.500           11.300       +8.238300e+00
      1.700            1.300       -9.365000e-01
      1.700            1.900       -1.200000e-02
      1.700            5.900       +6.651400e+00
      1.700            6.500       -1.133700e+00
      1.700            8.100       +7.172200e+00
      1.900            3.100       +1.754600e+00
      1.900            4.700       +6.886600e+00
      1.900            8.700       +7.004800e+00
      1.900           10.100       +8.083700e+00
      2.100            3.500       +3.399000e-01
      2.100            3.900       -7.359000e-01
      2.100            4.700       +6.752200e+00
      2.100            6.500       -2.111000e-01
      2.100            9.700       +7.484200e+00
      2.300            0.300       +7.300000e-01
      2.300            0.900       +5.244000e-01
      2.300            1.700       -3.840000e-01
      2.300            3.500       -3.298000e-01
      2.300            7.300       +1.026000e-01
      2.300            7.500       +7.161700e+00
      2.300            8.300       +6.922100e+00
      2.300           10.700       +8.509800e+00
      2.500            4.700       -8.799000e-01
      2.500            7.900       +7.018400e+00
      2.500            9.700       +7.409100e+00
      2.500           11.500       +7.955400e+00
      2.700            2.900       -5.479000e-01
      2.700            4.700       +6.055000e+00
      2.700            5.700       +7.154100e+00
      2.700            6.500       +7.668900e+00
      2.700            8.300       +6.767100e+00
      2.700            8.700       +6.730200e+00
      2.700           10.300       +8.407700e+00
      2.900            2.300       -1.078500e+00
      2.900            6.500       +7.318000e-01
      2.900            6.900       +3.075000e-01
      2.900            9.100       +7.112800e+00
      2.900           10.300       +8.684600e+00
      2.900           11.500       +7.933100e+00
      3.100            3.900       +5.831600e+00
      3.100            4.100       +5.853100e+00
      3.100            5.700       +6.868900e+00
      3.100            7.100       +3.410000e-02
      3.100            7.500       -1.116000e-01
      3.300            0.700       +7.145100e+00
      3.300            2.500       -1.136900e+00
      3.300            8.900       +7.442200e+00
      3.300           11.300       +8.200700e+00
      3.500            2.900       -9.072000e-01
      3.500            5.300       +5.531500e+00
      3.500            7.500       +7.158700e+00
      3.500           11.100       +8.265700e+00
      3.700            0.700       +5.133000e-01
      3.700            1.100       -2.659000e-01
      3.700            2.500       -3.219000e-01
      3.700            5.900       +6.481700e+00
      3.700           11.300       +7.700600e+00
      3.900            3.100       +6.793600e+00
      3.900            6.700       +7.063200e+00
      3.900            7.300       +7.441000e+00
      3.900            8.900       +7.527800e+00
      3.900            9.900       +7.996300e+00
      3.900           10.700       +7.652200e+00
      4.100            2.700       +7.189600e+00
      4.100            3.100       +6.898800e+00
      4.100            3.300       +6.684800e+00
      4.100            5.100       +5.314700e+00
      4.100            5.500       +5.626100e+00
      4.100            6.900       +7.276300e+00
      4.100            7.100       +7.469100e+00
      4.100            7.900       +7.355600e+00
      4.100            9.100       +7.155600e+00
      4.100           10.900       +7.098600e+00
      4.300            3.100       +6.849800e+00
      4.300            4.900       +5.475000e+00
      4.300           11.500       +7.033200e+00
      4.500            2.100       +6.339500e+00
      4.500            6.300       +6.839600e+00
      4.500            6.700       +7.576300e+00
      4.500            7.500       +7.856500e+00
      4.500            9.700       +6.293800e+00
      4.700            0.300       +8.231700e+00
      4.700            0.500       +8.109000e+00
      4.700            3.100       +6.250600e+00
      4.900            2.300       +5.953600e+00
      4.900            2.700       +5.874600e+00
      4.900            3.700       +6.208500e+00
      4.900            5.900       +7.060600e+00
      4.900            7.100       +8.273000e+00
      4.900            7.300       +8.202200e+00
      5.100            3.700       +6.296000e+00
      5.100            8.300       +6.242800e+00
      5.100           10.500       +5.282900e+00
      5.100           10.900       +5.284100e+00
      5.300            4.100       +6.255600e+00
      5.300            5.300       +7.067200e+00
      5.300            8.100       +6.920600e+00
      5.500            2.300       +5.367400e+00
      5.500            6.300       +7.543700e+00
      5.500            7.100       +7.890100e+00
      5.500            9.100       +6.251900e+00
      5.500            9.500       +6.306800e+00
      5.700            4.900       +6.714600e+00
      5.700            6.300       +7.226500e+00
      5.700           10.100       +6.109800e+00
      5.700           10.900       +5.296100e+00
      5.900            1.500       +5.779300e+00
      5.900            5.500       +7.100900e+00
      5.900            5.700       +7.039900e+00
      5.900            9.700       +6.614200e+00
      5.900           11.100       +5.365900e+00
      6.100            0.900       +6.079900e+00
      6.100            3.700       +6.297300e+00
      6.100            4.100       +6.452200e+00
      6.100            4.300       +6.491500e+00
      6.100            5.500       +7.031000e+00
      6.100            6.700       +6.511200e+00
      6.100            7.100       +7.094900e+00
      6.100            8.300       +7.126200e+00
      6.300            0.900       +6.008800e+00
      6.300            2.700       +5.314400e+00
      6.300            6.100       +6.212700e+00
      6.300            6.700       +6.437900e+00
      6.300            6.900       +6.769500e+00
      6.300            8.500       +6.845100e+00
      6.300           10.500       +6.722400e+00
      6.300           11.500       +5.845600e+00
      6.500            0.700       +6.037900e+00
      6.500            4.100       +6.775700e+00
      6.500            4.500       +6.952500e+00
      6.500            5.100       +7.174900e+00
      6.500            5.500       +6.915800e+00
      6.500            9.100       +6.433700e+00
      6.500            9.300       +6.491400e+00
      6.700            1.500       +6.374800e+00
      6.700            1.700       +6.465300e+00
      6.700            4.100       +7.017600e+00
      6.700            4.700       +7.144400e+00
      6.700            6.300       +6.144500e+00
      6.700            8.500       +6.541100e+00
      6.700            9.700       +6.782600e+00
      6.700           10.100       +7.213200e+00
      6.700           11.100       +6.244300e+00
      6.900            2.300       +6.549000e+00
      6.900            3.900       +7.130200e+00
      6.900            7.300       +7.202300e+00
